Mol,DRC,S2,S1(blyp),"S1(blyp, TDA)",S1(bmk),"S1(bmk, TDA)",S1(m11),"S1(m11, TDA)",S1(m062x),"S1(m062x, TDA)",S1(b3lyp),"S1(b3lyp, TDA)",S1(PBE0),"S1(PBE0, TDA)",S1(cam-b3lyp),"S1(cam-b3lyp, TDA)",S1(LC-wPBE),"S1(LC-wPBE, TDA)",S1(LC-BLYP),"S1(LC-BLYP, TDA)",S1(wB97XD),"S1(wB97XD, TDA)",S1(PBE),"S1(PBE, TDA)",S1(MC),CHECK MC
BBNBN10,0.0007,0.0756,3.5043,3.5049,4.4712,4.4754,3.7122,3.7201,3.9901,3.9933,3.8087,3.8095,4.0494,4.0503,4.1472,4.1487,4.5481,4.8126,4.5632,4.5763,4.4242,4.4682,3.7188,3.7194,4.25136305069954,4.25
BBNBN11,0.0181,0.3274,3.7598,3.7608,4.4825,4.8895,4.443,4.5877,4.3961,4.6636,4.2427,4.2487,4.3614,4.5529,4.3642,4.7642,4.4972,4.8832,4.5148,4.8909,4.3614,4.7653,3.9854,3.9865,3.76788651929945,3.77
BBNBN12,0.0772,0.5659,3.1074,3.1084,3.7693,3.7872,3.4228,3.4292,3.6288,3.6322,3.4434,3.4445,3.6931,3.701,3.8198,3.8217,3.9281,4.0326,3.9047,4.1795,3.8415,3.8575,3.1849,3.1886,3.38337711149965,3.38
BBNBN13,0.0743,0.5571,4.0114,4.0118,4.2494,4.6882,4.0242,4.0326,4.1283,4.3721,4.1055,4.2807,4.1784,4.5048,4.0857,4.5011,4.0599,4.4804,4.0402,4.446,4.0882,4.5111,4.1111,4.2221,3.61286815620023,3.61
BBNBN15,0.0954,0.6068,3.9768,3.9776,4.2778,4.8113,4.0622,4.2629,4.123,4.5033,4.1123,4.2945,4.1744,4.5177,4.0904,4.6253,4.0423,4.563,4.0361,4.5409,4.095,4.6379,4.1253,4.1861,3.72688921230041,3.73
BBNBN16,0.2844,0.8357,3.3536,3.8479,3.5523,4.2165,3.374,3.9687,3.4361,4.0642,3.419,4.1347,3.4662,4.1702,3.3695,4.0124,3.2923,3.8989,3.2651,3.8457,3.3803,4.0373,3.4028,4.014,3.1884065774999,3.19
BBNBN17,0.4563,1.2712,2.1369,2.7145,2.4121,2.9184,2.3846,2.8839,2.3678,2.8654,2.2549,2.7987,2.3061,2.8363,2.3216,2.8286,2.34,2.8362,2.322,2.8071,2.3311,2.8498,2.1724,2.746,2.01918689130219,2.02
NBNBN18,0.4492,1.2571,2.0077,2.4173,2.1659,2.5639,2.1184,2.5224,2.1116,2.5108,2.0982,2.5116,2.1199,2.5293,2.1386,2.5434,2.1253,2.5332,2.1317,2.5314,2.134,2.5455,2.0201,2.4263,2.01148129140052,2.01
AzBNBN19,0.1269,0.7531,1.4407,1.7132,2.0233,2.2474,2.1615,2.38,2.0774,2.2983,1.7159,1.9516,1.8272,2.0575,2.007,2.2241,2.3197,2.532,2.4248,2.63,1.9651,2.1864,1.4872,1.7623,1.87652785440051,1.88
BNONO20,0.3855,0.9346,2.0307,2.4687,2.4192,3.0087,2.4579,3.011,2.4233,2.99,2.2362,2.8538,2.3173,2.9176,2.3209,2.8966,2.3575,2.9133,2.3636,2.899,2.3392,2.9249,2.0688,2.4878,1.80005306100015,1.80
BBN2,0.0000,0.2071,4.6707,4.6724,5.7297,5.8995,5.2205,5.2286,5.4752,5.4798,5.1554,5.1572,5.4391,5.441,5.6312,5.634,5.8925,6.0805,5.9363,6.1266,5.6717,5.8447,4.8976,4.8995,5.01138297509931,5.01
BBN3,0.0036,0.4858,4.6794,4.6799,5.1704,5.4193,5.1015,5.1096,5.1026,5.3411,4.969,5.0972,5.066,5.3015,5.096,5.3342,5.2218,5.4845,5.2837,5.5489,5.088,5.3274,4.8381,4.9011,4.48620330930017,4.49
BBN4,0.0300,0.0000,4.1395,4.14,4.85,5.1973,4.4322,4.4388,4.71,4.7128,4.4925,4.4931,4.7333,4.7451,4.6679,4.8445,4.6768,5.0752,4.6677,5.0586,4.6757,5.0664,4.3622,4.3627,4.3152072342006,4.32
BBNBN5,0.0000,0.0000,4.8839,4.885,5.6075,5.854,5.2937,5.3033,5.5359,5.6147,5.3281,5.3295,5.4845,5.5894,5.54,5.7318,5.6847,5.925,5.7595,5.9994,5.5412,5.7661,5.1018,5.1029,4.96507726920012,4.97
BBNBN6,0.0004,0.0535,4.6585,4.6996,5.4847,5.7265,4.9298,4.9429,5.3099,5.3176,5.0345,5.112,5.1452,5.3303,5.403,5.4073,5.7718,5.9623,5.8674,5.8752,5.3621,5.6047,4.7075,4.87,4.6263187554002,4.63
BBNBN7,0.0000,0.0000,3.8573,3.8575,4.7148,4.984,4.5879,4.5928,4.7095,4.7239,4.2999,4.3004,4.4958,4.6014,4.6487,4.8844,5.0337,5.2762,5.0987,5.3341,4.6331,4.8816,4.1023,4.1027,4.1643057440998,4.16
BBNBN8,0.0000,0.0000,3.9611,3.9635,4.6893,4.7358,4.3307,4.3419,4.6025,4.6297,4.3938,4.3965,4.6053,4.6358,4.7334,4.7719,4.8123,4.8655,4.8739,4.931,4.7268,4.7635,4.1466,4.1544,4.3562848106999,4.36
BBNBN9,0.0000,0.0000,4.2498,4.2509,4.8523,5.0743,4.5608,4.5716,4.7708,4.8632,4.5238,4.6288,4.6151,4.8435,4.8133,5.0008,5.1524,5.3681,5.2687,5.411,4.778,4.9896,4.3306,4.4376,4.26401869380014,4.26
A,0.1526,1.8593,2.8139,3.0814,3.4695,3.7888,3.362,4.1568,3.5738,3.9191,3.1578,3.4489,3.2545,3.5479,3.5545,3.8014,3.9771,4.2683,3.9608,4.2415,3.5717,3.9155,2.8414,3.1092,3.32,3.32
AB1B8,0.6224,1.5261,1.2727,1.4539,1.4224,1.6,1.3246,1.5532,1.3537,1.5589,1.3527,1.5389,1.39,1.5812,1.3612,1.5581,1.3855,1.6177,1.4539,1.6883,1.314,1.5143,1.3029,1.4886,1.36138851891198,1.36138851891198
AB1aB8a,0.7352,2.3223,0.3912,0.4874,0.7124,0.8363,1.0863,1.2591,0.7749,0.9268,0.5407,0.6594,0.5722,0.6879,0.8031,0.9551,1.044,1.2328,1.0787,1.2659,0.8311,0.9888,0.3761,0.4716,0.577061547353423,0.577061547353423
AB2B7,0.6748,2.0303,0.5793,0.7468,0.6519,0.8112,0.8509,1.0779,0.6289,0.8174,0.6082,0.7721,0.6315,0.7958,0.6569,0.838,0.948,1.1859,1.007,1.2419,0.6806,0.8754,0.5941,0.7631,0.538006657618023,0.538006657618023
AB3B7,0.1142,1.3732,1.5553,1.6109,2.1976,2.2743,2.7466,2.8579,2.4381,2.5227,1.9089,1.9699,2.0023,2.0654,2.3827,2.4682,2.8865,3.0024,2.9909,3.1096,2.4054,2.4957,1.5637,1.6198,1.89353193617198,1.89353193617198
AB4B8,0.4038,1.8757,2.0605,2.1143,2.46,2.6775,2.6309,2.9136,2.5179,2.8496,2.3176,2.4179,2.3664,2.5189,2.5192,2.831,2.7672,3.0323,2.8522,3.1092,2.5038,2.7958,2.091,2.1447,1.96831838736172,1.96831838736172
AB4aB8a,0.2990,1.9900,0.8652,0.9374,1.3949,1.4901,1.9589,2.0804,1.6386,1.741,1.1804,1.2614,1.2553,1.3385,1.6196,1.7208,2.0633,2.1846,2.1222,2.243,1.6602,1.7646,0.8593,0.9325,1.18599417484337,1.18599417484337
AB6B8,0.0505,1.4703,2.4949,2.6073,3.3255,3.4094,3.8641,3.9755,3.5388,3.6395,2.9401,3.0399,3.0657,3.1658,3.4755,3.5596,3.9063,4.0194,3.9484,4.0658,3.5562,3.6531,2.5177,2.6332,2.88965938385787,2.88965938385787
AB9B10,0.0275,1.2274,2.7679,2.8327,3.4087,3.4925,3.9417,4.0692,3.6556,3.7516,3.1491,3.2194,3.2754,3.3476,3.5376,3.6264,3.9244,4.0401,3.9486,4.0908,3.6214,3.7215,2.8103,2.876,3.26,3.26
P,0.0682,1.8209,3.4971,3.5084,4.2151,4.2528,4.412,4.5686,4.2795,4.3979,3.9074,3.9882,4.0295,4.0511,4.2599,4.3109,4.4941,4.6076,4.5888,4.7184,4.3332,4.3841,3.545,3.5567,3.49,3.49
PB1B8,0.4304,1.9116,1.2252,1.5416,1.688,1.9154,2.0806,2.3015,1.8614,2.0908,1.4782,1.7451,1.5407,1.8032,1.8398,2.055,2.2248,2.4328,2.2974,2.5,1.8543,2.0651,1.2263,1.5516,1.50878396506387,1.50878396506387
PB1aB8a,0.3284,1.8829,0.8412,0.9706,1.3215,1.4377,1.8679,2.0011,1.5774,1.7022,1.135,1.257,1.2019,1.3211,1.5354,1.6519,1.9615,2.0902,2.028,2.1557,1.5735,1.691,0.8302,0.9644,1.33624191994454,1.33624191994454
PB2B7,0.2520,1.8516,1.2967,1.3861,1.9207,2.0099,2.4718,2.5832,2.166,2.26,1.6339,1.7167,1.7149,1.7981,2.0935,2.1845,2.6027,2.7148,2.715,2.8284,2.1132,2.2064,1.2895,1.381,1.79264104473445,1.79264104473445
PB3B6,0.3187,1.8684,1.4941,1.5688,2.14,2.23,2.6093,2.7956,2.3681,2.4978,1.8471,1.9232,1.9411,2.019,2.3201,2.4187,2.7498,2.9304,2.8239,3.013,2.3538,2.4561,1.4991,1.575,1.92832279952763,1.92832279952763
PB4B5,0.4148,1.8986,1.0887,1.3886,1.5401,1.7421,1.9652,2.1508,1.7311,1.9573,1.3494,1.5929,1.4081,1.6452,1.7069,1.8906,2.1082,2.2821,2.203,2.3734,1.7139,1.8901,1.0869,1.3955,1.47844978479968,1.47844978479968
PB4aB5a,0.3502,1.9472,0.7515,0.8585,1.3113,1.4319,1.8249,1.9683,1.4774,1.6056,1.0571,1.1683,1.1242,1.2371,1.4908,1.6146,1.9103,2.052,1.9799,2.1216,1.5126,1.6373,0.8129,0.9097,1.11854010749836,1.11854010749836
QDM13C46,0.2393,1.6817,2.6308,2.8006,3.2169,3.5317,3.4496,3.7543,3.2938,3.6034,2.9511,3.2253,3.0311,3.3218,3.2883,3.5838,3.6339,3.9241,3.69,3.966,3.2874,3.5908,2.647,2.818,3.281063702,3.281064
QDM15C46,0.1752,1.3514,2.534,2.54,3.3873,3.5192,3.6343,3.7744,3.4978,3.6301,3.0697,3.1957,3.169,3.296,3.4505,3.5761,3.8303,3.9701,3.9705,4.1145,3.4091,3.5313,2.4733,2.4801,3.43625457659892,3.436255
QDM2C56,0.2513,1.4315,1.4847,1.6995,2.0819,2.299,2.3781,2.6271,2.1747,2.3989,1.7898,1.9983,1.8499,2.0586,2.1721,2.3927,2.5491,2.7871,2.6491,2.8799,2.1613,2.3916,1.4672,1.6864,1.78796610689983,1.787966
QDM2C67,0.2957,1.7117,1.5699,1.6987,2.1584,2.2841,2.5097,2.7007,2.2641,2.3942,1.8612,1.9806,1.9314,2.0513,2.2786,2.4038,2.7267,2.9194,2.8262,2.9693,2.2816,2.4102,1.5691,1.7016,1.80861087810042,1.808611
QDM5C56,0.2287,1.3818,1.8683,2.0445,2.5136,2.6848,2.8273,3.0208,2.6205,2.7976,2.1985,2.363,2.2736,2.4384,2.609,2.7794,3.0132,3.2034,3.1333,3.3231,2.5893,2.7615,1.8697,2.0494,2.09775794310044,2.097758
QDM6C67,0.3446,1.7564,1.3002,1.5001,1.8487,2.0436,2.1517,2.3602,1.94,2.1378,1.5809,1.7713,1.6384,1.8303,1.9554,2.147,2.3567,2.5579,2.4401,2.6345,1.9574,2.2089,1.2931,1.4991,1.65002256299969,1.650023
